usia;kelompok
65        ;Tua                 
48        ;Dewasa              
31        ;Dewasa              
7         ;Kanak-Kanak         
16        ;Remaja              
7         ;Kanak-Kanak         
44        ;Dewasa              
34        ;Dewasa              
26        ;Dewasa              
24        ;Dewasa              
80        ;Tua                 
22        ;Pemuda              
21        ;Pemuda              
23        ;Pemuda              
27        ;Dewasa              
23        ;Pemuda              
32        ;Dewasa              
45        ;Dewasa              
12        ;Remaja              
18        ;Pemuda              
27        ;Dewasa              
14        ;Remaja              
20        ;Pemuda              
40        ;Dewasa              
51        ;Dewasa              
56        ;Tua                 
63        ;Tua                 
9         ;Kanak-Kanak         
51        ;Dewasa              
43        ;Dewasa              
48        ;Dewasa              
11        ;Kanak-Kanak         
45        ;Dewasa              
71        ;Tua                 
49        ;Dewasa              
15        ;Remaja              
17        ;Pemuda              
52        ;Dewasa              
15        ;Remaja              
35        ;Dewasa              
61        ;Tua                 
11        ;Kanak-Kanak         
4         ;Balita              
63        ;Tua                 
8         ;Kanak-Kanak         
22        ;Pemuda              
68        ;Tua                 
16        ;Remaja              
5         ;Balita              
56        ;Tua                 
4         ;Balita              
50        ;Dewasa              
63        ;Tua                 
58        ;Tua                 
61        ;Tua                 
51        ;Dewasa              
69        ;Tua                 
38        ;Dewasa              
77        ;Tua                 
16        ;Remaja              
25        ;Dewasa              
48        ;Dewasa              
67        ;Tua                 
3         ;Balita              
24        ;Dewasa              
55        ;Tua                 
17        ;Pemuda              
19        ;Pemuda              
72        ;Tua                 
46        ;Dewasa              
13        ;Remaja              
71        ;Tua                 
80        ;Tua                 
44        ;Dewasa              
53        ;Dewasa              
44        ;Dewasa              
73        ;Tua                 
23        ;Pemuda              
27        ;Dewasa              
20        ;Pemuda              
37        ;Dewasa              
1         ;Balita              
58        ;Tua                 
62        ;Tua                 
20        ;Pemuda              
14        ;Remaja              
78        ;Tua                 
75        ;Tua                 
41        ;Dewasa              
55        ;Tua                 
60        ;Tua                 
72        ;Tua                 
74        ;Tua                 
69        ;Tua                 
76        ;Tua                 
21        ;Pemuda              
23        ;Pemuda              
42        ;Dewasa              
2         ;Balita              
32        ;Dewasa              
